boughtDate,price,count
2014-04-19,2450000,1
2014-05-25,150000,1
2014-06-16,150000,1
2014-06-19,71000,1
2014-06-20,150000,1
2014-06-25,71000,1
2014-06-28,71000,1
2014-06-29,41500,1
2014-07-01,97600,1
2014-07-16,140000,1
2014-07-17,925955,1
2014-07-18,97600,1
2014-07-20,71000,1
2014-07-24,41500,1
2014-07-25,140000,1
2014-08-05,140000,1
2014-08-09,1450000,1
2014-08-22,41500,1
2014-08-25,78000,1
2014-08-26,97600,1
2014-09-04,69000,1
2014-09-06,947600,2
2014-09-09,870600,2
2014-09-12,350100,4
2014-09-14,237600,2
2014-09-16,851000,2
2014-09-19,41500,1
2014-09-23,221000,2
2014-09-24,44000,1
2014-09-26,41500,1
2014-10-02,200000,1
2014-10-07,1896000,2
2014-10-09,210100,3
2014-10-13,271000,2
2014-10-14,71000,1
2014-10-16,97600,1
2014-10-20,960500,3
2014-10-21,71000,1
2014-10-27,71000,1
2014-10-28,41500,1
2014-10-31,1034000,3
2014-11-02,140000,1
2014-11-03,71000,1
2014-11-04,1048000,2
2014-11-10,139100,2
2014-11-11,234600,3
2014-11-13,380000,3
2014-11-16,44000,1
2014-11-17,71000,1
2014-11-19,71000,1
2014-11-23,140000,1
2014-11-26,71000,1
2014-11-27,993500,3
2014-11-29,749500,1
2014-12-01,2102800,3
2014-12-02,162600,2
2014-12-03,244000,2
2014-12-07,231600,3
2014-12-11,78000,1
2014-12-12,3481500,5
2014-12-15,67500,1
2014-12-20,78000,1
2014-12-24,97600,1
2014-12-25,184000,2
2014-12-26,72000,1
2014-12-28,71000,1
2014-12-29,150000,1
2014-12-30,99950,1
2014-12-31,115000,2
2015-01-02,67500,1
2015-01-03,97600,1
2015-01-04,1896000,2
2015-01-05,140000,1
2015-01-06,171000,2
2015-01-08,1800000,3
2015-01-09,141600,2
2015-01-12,150000,1
2015-01-13,150000,1
2015-01-14,44000,1
2015-01-17,775000,1
2015-01-20,56600,1
2015-01-21,83000,2
2015-01-24,97600,1
2015-01-26,140000,1
2015-01-28,71000,1
2015-01-29,105000,1
2015-01-30,72000,1
2015-01-31,44000,1
2015-02-01,439000,2
2015-02-02,99950,1
2015-02-03,906600,2
2015-02-05,68950,1
2015-02-06,72000,1
2015-02-07,1025700,3
2015-02-08,71000,1
2015-02-11,56600,1
2015-02-12,56600,1
2015-02-13,80000,1
